Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-03-01 05:00:00,"17,231","6,405","5,753","5,08","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-01 04:00:00,"17,075","6,255","5,769","5,058","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-01 03:00:00,"17,349","6,423","5,811","5,123","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-01 02:00:00,"17,224","6,296","5,813","5,122","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-01 01:00:00,"17,208","6,254","5,837","5,124","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-01 00:00:00,"16,982","5,963","5,867","5,159","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 23:00:00,"16,904","6,094","5,801","5,016","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 22:00:00,"16,508","5,707","5,811","4,997","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 21:00:00,"16,68","5,981","5,724","4,982","0,037","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 20:00:00,"16,771","5,948","5,781","5,05","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,021"
2025-02-28 19:00:00,"17,115","6,285","5,839","4,999","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 18:00:00,"18,292","6,448","6,5","5,28","0,036","0,033","0,021","0,023","0,018","0,024","0,025","0,023","0,022"
2025-02-28 17:00:00,"20,386","6,62","6,874","5,227","0,037","0,032","0,02","0,552","0,557","0,557","0,025","0,023","0,022"
2025-02-28 16:00:00,"22,002","6,11","6,179","3,977","0,037","0,032","0,02","1,9","1,925","1,911","0,024","0,023","0,023"
2025-02-28 15:00:00,"31,22","10,096","10,065","7,098","0,036","0,033","0,021","1,312","1,329","1,321","2,306","3,29","2,307"
2025-02-28 14:00:00,"42,265","9,851","12,231","6,737","1,482","1,471","1,462","4,452","4,513","4,481","3,572","7,056","3,578"
2025-02-28 13:00:00,"39,27","11,445","13,727","7,97","3,899","3,876","3,865","2,028","2,057","2,043","0,027","3,481","0,032"
2025-02-28 12:00:00,"40,987","11,064","11,452","7,499","3,798","3,778","3,766","3,633","3,683","3,657","0,629","1,812","0,632"
2025-02-28 11:00:00,"86,445","26,87","29,102","23,198","3,118","3,091","3,09","2,409","2,442","2,424","16,229","20,069","16,246"
2025-02-28 10:00:00,"110,655","33,467","36,181","30,669","6,087","6,519","6,583","3,425","3,47","3,445","21,026","24,915","21,041"
2025-02-28 09:00:00,"115,127","35,155","39,516","34,016","3,514","6,05","6,033","2,133","2,162","2,145","23,718","27,107","23,684"
2025-02-28 08:00:00,"94,177","31,236","31,538","30,081","2,568","4,628","4,584","0,438","0,442","0,442","19,478","19,545","19,445"
2025-02-28 07:00:00,"51,157","18,349","16,659","15,966","2,437","2,418","2,409","0,062","0,058","0,063","7,437","7,433","7,432"
2025-02-28 06:00:00,"21,365","7,134","7,519","6,72","0,036","0,033","0,021",0,"-0,006","-0,001","0,524","0,521","0,519"
2025-02-28 05:00:00,"17,35","6,087","5,956","5,314","0,036","0,034","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-02-28 04:00:00,"15,928","5,507","5,566","4,862","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-02-28 03:00:00,"16,103","5,599","5,606","4,905","0,036","0,034","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-02-28 02:00:00,"16,203","5,742","5,586","4,883","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,022"
2025-02-28 01:00:00,"16,163","5,618","5,658","4,894","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-28 00:00:00,"16,433","5,631","5,873","4,936","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-27 23:00:00,"16,113","5,565","5,645","4,911","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-27 22:00:00,"16,267","5,74","5,638","4,896","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-02-27 21:00:00,"25,667","8,898","8,838","7,939","0,036","0,033","0,022",0,"-0,006","-0,001","3,026","3,006","2,992"
2025-02-27 20:00:00,"28,119","9,603","9,793","8,73","0,036","0,033","0,022",0,"-0,006","-0,001","3,851","3,825","3,806"
2025-02-27 19:00:00,"29,436","10,527","10,107","8,809","0,036","0,032","0,022",0,"-0,006","-0,001","3,861","3,835","3,817"
2025-02-27 18:00:00,"32,293","11,842","11,021","9,433","0,036","0,032","0,022","0,001","-0,004","0,001","3,813","3,787","3,774"
2025-02-27 17:00:00,"25,057","9,172","8,456","6,873","0,036","0,032","0,022","0,184","0,184","0,189","1,006","0,998","0,998"
2025-02-27 16:00:00,"25,334","8,618","7,631","7,069","0,036","0,032","0,022","0,668","0,675","0,673","0,024","0,022","0,023"
